timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match
"8db16070b9ee3f3054828e11a3bc1558785532ffd14d68f9623a14beaae67858 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",c054fad2-ece1-4b17-b746-6e062f6f6406,29d6375047925c1fbf618f0c9bf68084c5d8c25e8840c2bdcb0945213eda6052,3,bd2dd15be34863e9efb77fbddfe744382a9c62c6a497e8bcf3097a47905b905b,10,live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6e75cdce22ed4beaeaff85345450bbbd275062920b706de68357db376454a1f4 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f3f4c879f895a2b8097981b39e2fbeaf275dcdce159e8f362b8a6ec66199266c Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e45009d1e38f0e4fd5e59197f7d0b2f814fd6143191464dac94c58f5b9e30c15 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7ccf4df49234ac7bee0dcd69b2127832460117a928287d326de4143b5fd88a93 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,NA,NA,NA,NA,NA,NA,NA
"75ec5eb25d98354f7b4584be87076d676b1bbc2ab7382d09f9c4683ef7786e3c Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,NA,NA,NA,NA,NA
"f17684a9a0487ce2026f2a0880f5868a4e47d088fd48977d0326692c34472969 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,1,right,right,erotic,true
"45cbbedbeed354799a641cb8d27cd5eab724ba48ca54e83260cdddbd8d212f37 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,2,right,right,erotic,true
"05047ac07e4c28ed84c6dcaf59568fee783a1b59bd12435176495b53c819780b Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,3,left,left,neutral,true
"c6f49e05610012ee7b050a131ccf96a679a8aca04cacd059dde1ac1bc15009fa Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,4,right,right,neutral,true
