655459a1f6d2c6cc602b41b98483102bc357bff6f89cd363715abdd6683f75e4 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3f4e5a28b6a096457db7ffa26d4ebad30867cc0e991e77c684ded60facaec868 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a8e459f00a06bc65d68959f7cc435ed68c065e10969f331101bd4d028983665c Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d055d0aa8cfc9de5b0a5501e1e0082fe118e90679889375db45a44bbfa6c8710 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,NA,NA,NA,NA,NA,NA,NA
dc504b35d8cb7a68b87b5514fef1975443b58026bd8cd0126b69dfb64eb06cb8 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,very true,between true and untrue,NA,NA,NA,NA,NA
9c16874720cd1cc9672bb374b3b83006b22acaccc687e41e811c73d6d827ee7c Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,very true,between true and untrue,1,right,left,neutral,false
94fd56862c53e392bd978d2ba7e13b411264b06f78f95dc27eb063d4b82c4a39 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,very true,between true and untrue,2,left,right,erotic,false
92d7a82e55134e6bdb9faedb263c18841f2987dce0f882051fe38138d8ce09d0 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,very true,between true and untrue,3,right,right,neutral,true
9d03c6e6d99b9521c2f3688b91069ee3394f7985f7b1ccc13140c60c1940c4fa Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,very true,between true and untrue,4,right,left,erotic,false
6066854a1ea27ec67199abd1f446c2dbf5edf7989d9e0fedb3597c8724baaf9a Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,very true,between true and untrue,5,left,right,neutral,false
4009886fff1a7f295173f804154d0b18e8d866a40b9f7470936bc0077746d09a Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,very true,between true and untrue,6,left,left,erotic,true
b20d1e8a83bbb14c78a33913bda1e44e48b80f9fb46810008bfe7f555f769454 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,very true,between true and untrue,7,left,left,neutral,true
a414e41f835038986dbcc00e60d03f07f9ab77c7b7f56122f6879d74d72e77c3 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,very true,between true and untrue,8,right,left,neutral,false
4a44dccb8eb4327f612735f2524b80113a3e5014440b7c79a1fa391e3b31b8a8 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,very true,between true and untrue,9,left,right,erotic,false
77f4a1fdea383efedf3595a51a01b051f2b9695345c80f1bc84760d8350b2a4f Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,very true,between true and untrue,10,left,left,erotic,true
42d35c1cff45a956cc7795d7ab0fc91ef01ce2930f9e31a7b5303997e07d8d21 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,very true,between true and untrue,11,right,left,erotic,false
bbd2fb6f34f9293c6eaa8d884895daf82ff01e2007305bb3b48d6213cff9f438 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,very true,between true and untrue,12,right,left,erotic,false
1bcd9541c70a2f9f58d35893169c99b7b9506f5d77aa3a24f52d2565dd83d27c Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,very true,between true and untrue,13,left,right,erotic,false
ba441d06516dc13d5cf85c92bf738322a2a96952e763013490c1275cd01992fd Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,very true,between true and untrue,14,right,right,erotic,true
140eb52c5d9c3fe42a13c9aa0dee47f0fda9545e9d2b0ac52d2cb21b5ae3c9ce Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,very true,between true and untrue,15,right,right,erotic,true
db59a0dbcba5279e77cdf8e297a47f88ebeabd11845f5b50849b2e60df344268 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,very true,between true and untrue,16,right,left,erotic,false
dc99aca49c9a3a7e6a1ea1b3d8633c10f9f20d8c2145ae53ec5369d544a9744b Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,very true,between true and untrue,17,left,left,neutral,true
d8445286fd95695bf80b21c3f8c4c1ca272e272d448293e5e851cbc55621b6ce Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,8b219387-6208-404e-9d9f-a572bbf198f7,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Don’t know,Probably yes,Regularly now,very true,between true and untrue,18,left,left,erotic,true
