timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match
"cc56bb4ce11b91b5de6eb119d6082d7e554b3347e6c4d3511d52751a89a85fb2 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",5e45139f-e642-4539-8958-6906c3f6b9c6,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1736549bfeb02c961244422229742f12c845a41cbc0dcfd3b21100e486039577 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",5e45139f-e642-4539-8958-6906c3f6b9c6,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2858025e4e1a737f37f2d0abf7dbd801475b1cb30a8f9aaa8b008accb0dfc8ac Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",5e45139f-e642-4539-8958-6906c3f6b9c6,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,yes,no,18-29,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4728db5911b9cf8fb901427bf3208d31499f0f3bc084867430b5f3db3ceb4cad Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2a8349db-4868-44b9-853f-9c7205d834d2,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48a8c9df203e2bb281bb5bef77084daafda3ce03587855d25391c243af8aada2 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2a8349db-4868-44b9-853f-9c7205d834d2,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7760f3a87a83f7fa1c3cf0971d6a2083cc63ffce965d7966d9c7e0d19830cfc3 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2a8349db-4868-44b9-853f-9c7205d834d2,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,yes,no,18-29,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ac2c598f1d9aefb118c8685de537bfba972678ff426681e95bd6e6e14e0ca8ba Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2a8349db-4868-44b9-853f-9c7205d834d2,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,yes,no,18-29,Male,yes,Definitely Does not,Definitely no,Only a few times,NA,NA,NA,NA,NA,NA,NA
"953c3143b207f76364f7359d94d789afab68f096c13ac25f3ee08116a80649c0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2a8349db-4868-44b9-853f-9c7205d834d2,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,yes,no,18-29,Male,yes,Definitely Does not,Definitely no,Only a few times,between true and untrue,untrue,NA,NA,NA,NA,NA
"3b40d13da0a140299a6ae81ac17b0767aa5d36390ebfd3cbbfdaee8bc0906d4a Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2a8349db-4868-44b9-853f-9c7205d834d2,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,yes,no,18-29,Male,yes,Definitely Does not,Definitely no,Only a few times,between true and untrue,untrue,1,right,left,erotic,false
"45ef95f542759496a3ad57f48a9cb7f458381f219438210fb7891d19936dbd41 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2a8349db-4868-44b9-853f-9c7205d834d2,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,yes,no,18-29,Male,yes,Definitely Does not,Definitely no,Only a few times,between true and untrue,untrue,2,right,left,neutral,false
