timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match
"e30b0f8dd5a6ecba8198d37fd1074a9b077b19bd65ce7af658e3e784e6731076 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2790af8a-3a87-45a7-aa8a-fde8ed69fb09,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47201e013a200dddac341822596c120bf89f760e61c11df711a632bd3d3dac13 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2790af8a-3a87-45a7-aa8a-fde8ed69fb09,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,yes,no,18-29,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"736679c5281982554dc5456c55de9ebb127cbbd50b6592671270c4e88df2aa58 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2790af8a-3a87-45a7-aa8a-fde8ed69fb09,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,yes,no,18-29,Male,yes,Probably does,Don't know,Only a few times,NA,NA,NA,NA,NA,NA,NA
"93405d1fbafd8ede71653bbbedacdec8410d9b0febcfffe7012e8b9604d3badd Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2790af8a-3a87-45a7-aa8a-fde8ed69fb09,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,yes,no,18-29,Male,yes,Probably does,Don't know,Only a few times,between true and untrue,untrue,NA,NA,NA,NA,NA
"0e683397e07f4d5aa499c55c83e146333975f97207f7ed6de568a632b252dbc9 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2790af8a-3a87-45a7-aa8a-fde8ed69fb09,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,yes,no,18-29,Male,yes,Probably does,Don't know,Only a few times,between true and untrue,untrue,2,right,right,neutral,true
"de0d60cc6ab5029611f488ff459183aa1fdaea755e8057e70cd8f70b6bd5b753 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2790af8a-3a87-45a7-aa8a-fde8ed69fb09,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,yes,no,18-29,Male,yes,Probably does,Don't know,Only a few times,between true and untrue,untrue,3,right,left,neutral,false
"b68ea4ce78794f8748673c84e7908f776133eb8a58fbb14b179e7a0906f894da Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2790af8a-3a87-45a7-aa8a-fde8ed69fb09,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,yes,no,18-29,Male,yes,Probably does,Don't know,Only a few times,between true and untrue,untrue,4,right,left,erotic,false
"a88f447c26723aed7a3b9678a0b6bcc0d679def91fa00382bba2428292c29088 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2790af8a-3a87-45a7-aa8a-fde8ed69fb09,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,yes,no,18-29,Male,yes,Probably does,Don't know,Only a few times,between true and untrue,untrue,5,left,left,neutral,true
"f3cd03654a0ef95e9dcafdfd7a33327dea0211ef61729765127381d7af8fb412 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2790af8a-3a87-45a7-aa8a-fde8ed69fb09,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,yes,no,18-29,Male,yes,Probably does,Don't know,Only a few times,between true and untrue,untrue,6,right,left,erotic,false
"7949d15a457f8a59b1dec7689db6a0ecb4e972740d0aca01d44ceb43ba5b75f5 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2790af8a-3a87-45a7-aa8a-fde8ed69fb09,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,yes,no,18-29,Male,yes,Probably does,Don't know,Only a few times,between true and untrue,untrue,7,left,right,neutral,false
"1572e00770ecf93b28c29131cd37f7a98f753d8283751308f19a609f9e859d81 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2790af8a-3a87-45a7-aa8a-fde8ed69fb09,4dae8f025cde82f587b67e303b28a8aab98b3e343163fbf14081792f856714f7,0,668948134375310dd3f345a56899d0a984f11ee1e14b3b9594edeb9210b8a328,2,pilot,yes,no,18-29,Male,yes,Probably does,Don't know,Only a few times,between true and untrue,untrue,8,right,right,erotic,true
